krzeslo chair
stol table
myszka mouse
koszykowka basketball
buty shoes
kurczak chicken
punkt point
klawiatura keyboard
sluchawki headphones
mikrofon microphone
butelka bottle
klucz key
swiatlo light
ciemnosc dark
strach fear
chmura cloud
pudelko box
plecak backpack
obrecz rim
siatka net
tablica board
gra game
sport sport
telefon phone
rekawiczki gloves
talerz plate
lyzka spoon
ksiazka book
zeszyt notebook
dlugopis pen
keczup ketchup
musztarda mustard
mleko milk
kawa coffee
herbata tea
pogoda weather
patyk stick
miecz sword
tarcza shield
serce heart
zdrowie health
ramka frame
zdjecie photo
torba bag
olowek pencil
konsola console
polska poland
